MemberID,Gender,Race,OwnCar,OwnCreditCard,HomeCity,BirthYear,RegisterDate,Active2015,Active2016,Sat_Program,Sat_FastFood,Sat_Petrol,Sat_Grocery,NetPromoter,Gender_F,Race1,Race2,Car,CCard,CityA,CityB,CityC,CityD,CityE,CityF,Act_15,Act_16
10000027555,M,RACE1,Y,Y,CityG,1981,18-11-10 01:15,Y,Y,6,9,8,6,3,0,1,0,1,1,0,0,0,0,0,0,1,1
10000029805,F,RACE1,Y,N,CityA,1969,18-11-10 01:15,Y,Y,6,9,7,7,6,1,1,0,1,0,1,0,0,0,0,0,1,1
10000037005,F,RACE2,N,N,CityG,1971,18-11-10 01:16,Y,Y,5,7,6,7,4,1,0,1,0,0,0,0,0,0,0,0,1,1
10000180255,F,RACE2,Y,Y,CityG,1976,18-11-10 01:20,Y,Y,7,9,7,6,7,1,0,1,1,1,0,0,0,0,0,0,1,1
10000184305,M,RACE1,N,Y,CityG,1980,18-11-10 01:20,Y,Y,6,9,5,5,5,0,1,0,0,1,0,0,0,0,0,0,1,1
10000256155,M,OTHER,N,N,CityG,1973,18-11-10 01:22,Y,N,7,7,7,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0
10000392805,F,RACE1,N,N,CityC,1981,18-11-10 01:23,Y,Y,9,10,9,4,10,1,1,0,0,0,0,0,1,0,0,0,1,1
10000516555,M,RACE1,Y,Y,CityC,1978,18-11-10 01:27,Y,N,6,8,8,7,3,0,1,0,1,1,0,0,1,0,0,0,1,0
10000579705,F,RACE2,Y,N,CityG,1973,18-11-10 01:28,Y,N,8,8,6,6,5,1,0,1,1,0,0,0,0,0,0,0,1,0
10000668805,F,OTHER,Y,N,CityG,NULL,18-11-10 01:30,Y,Y,8,9,9,6,8,1,0,0,1,0,0,0,0,0,0,0,1,1
10000670305,M,RACE1,Y,Y,CityC,1981,18-11-10 01:30,Y,Y,8,8,9,6,7,0,1,0,1,1,0,0,1,0,0,0,1,1
10000700155,F,RACE1,Y,Y,CityC,1981,18-11-10 01:31,Y,Y,5,8,8,6,4,1,1,0,1,1,0,0,1,0,0,0,1,1
10000801105,F,RACE1,N,N,CityB,1964,18-11-10 01:33,Y,Y,7,9,7,7,7,1,1,0,0,0,0,1,0,0,0,0,1,1
10000816705,M,OTHER,Y,Y,CityG,NULL,18-11-10 01:33,Y,Y,3,6,6,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1
10000822255,M,OTHER,N,N,CityG,NULL,18-11-10 01:33,Y,Y,5,7,7,8,2,0,0,0,0,0,0,0,0,0,0,0,1,1
10000987705,M,OTHER,Y,Y,CityC,1976,16-11-10 20:01,Y,Y,8,9,9,9,7,0,0,0,1,1,0,0,1,0,0,0,1,1
10001001805,M,RACE1,Y,Y,CityG,1966,18-11-10 01:41,Y,Y,6,6,8,7,4,0,1,0,1,1,0,0,0,0,0,0,1,1
10001008105,F,RACE1,Y,Y,CityG,1982,18-11-10 01:41,Y,Y,9,10,8,9,9,1,1,0,1,1,0,0,0,0,0,0,1,1
10001140105,M,RACE1,Y,Y,CityC,1977,18-11-10 01:37,Y,Y,7,6,7,8,1,0,1,0,1,1,0,0,1,0,0,0,1,1
10001202355,F,OTHER,N,Y,CityG,1974,18-11-10 01:38,Y,Y,6,6,8,6,7,1,0,0,0,1,0,0,0,0,0,0,1,1
10001214655,F,RACE2,Y,N,CityG,1975,18-11-10 01:38,Y,Y,6,6,8,8,6,1,0,1,1,0,0,0,0,0,0,0,1,1
10001222905,M,RACE2,Y,N,CityG,1984,18-11-10 01:39,Y,N,6,8,7,7,2,0,0,1,1,0,0,0,0,0,0,0,1,0
10001252005,F,RACE2,N,N,CityG,1976,18-11-10 01:40,Y,Y,8,8,8,7,7,1,0,1,0,0,0,0,0,0,0,0,1,1
10001301955,F,RACE1,Y,Y,CityG,1982,18-11-10 01:42,Y,Y,6,10,6,1,10,1,1,0,1,1,0,0,0,0,0,0,1,1
10001346205,M,RACE1,Y,Y,CityG,1979,24-01-11 15:12,Y,Y,9,7,10,9,7,0,1,0,1,1,0,0,0,0,0,0,1,1
10001721055,F,RACE2,Y,Y,CityC,1964,13-10-13 08:54,Y,Y,5,6,8,7,6,1,0,1,1,1,0,0,1,0,0,0,1,1
10001778805,F,RACE1,N,N,CityA,1988,12-12-11 14:06,Y,Y,7,9,8,8,7,1,1,0,0,0,1,0,0,0,0,0,1,1
10001805955,F,RACE1,N,N,CityG,1978,12-12-11 14:06,Y,Y,8,9,8,7,7,1,1,0,0,0,0,0,0,0,0,0,1,1
10001865355,F,RACE1,Y,Y,CityA,1985,12-12-11 14:07,Y,Y,4,9,6,4,7,1,1,0,1,1,1,0,0,0,0,0,1,1
10001890705,M,RACE1,Y,N,CityG,1970,13-12-11 14:57,Y,N,5,8,7,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0
10001962255,M,OTHER,N,N,CityA,1983,12-03-12 12:53,Y,N,7,6,7,9,5,0,0,0,0,0,1,0,0,0,0,0,1,0
10001969305,F,RACE1,Y,Y,CityG,1987,12-03-12 12:53,Y,Y,8,8,7,5,5,1,1,0,1,1,0,0,0,0,0,0,1,1
10002033505,F,RACE1,Y,Y,CityA,1977,01-07-12 22:33,Y,Y,1,10,8,1,10,1,1,0,1,1,1,0,0,0,0,0,1,1
10002065455,M,RACE2,N,N,CityA,1965,01-07-12 22:33,Y,Y,4,7,7,7,5,0,0,1,0,0,1,0,0,0,0,0,1,1
10002076855,M,RACE2,N,N,CityA,1974,01-07-12 22:33,Y,Y,8,7,8,6,2,0,0,1,0,0,1,0,0,0,0,0,1,1
10002114805,F,OTHER,N,N,CityG,1986,01-07-12 22:34,Y,Y,7,9,7,8,7,1,0,0,0,0,0,0,0,0,0,0,1,1
10002128605,F,OTHER,N,N,CityG,1991,01-07-12 22:34,Y,N,6,7,8,8,7,1,0,0,0,0,0,0,0,0,0,0,1,0
10002215905,M,RACE1,N,N,CityG,1988,04-09-12 18:29,Y,Y,8,9,7,7,7,0,1,0,0,0,0,0,0,0,0,0,1,1
10002251305,M,RACE1,N,N,CityA,1984,24-09-12 19:53,Y,Y,8,8,9,9,5,0,1,0,0,0,1,0,0,0,0,0,1,1
