SalesID,MemberID,SalesAmt,PointReward,SalesFirm,SalesDate,Sales_F,Sales_G,Sales_P
255682359,11282704705,10.00,10,Petrol,01-01-15 04:09,0,1,0
255766703,10060247155,20.00,20,Petrol,01-01-15 09:32,0,1,0
255784032,11251119805,14.28,14,Petrol,01-01-15 09:40,0,1,0
255784578,11280827305,20.00,20,Petrol,01-01-15 11:14,0,1,0
255794588,11255182555,4.25,4,Petrol,01-01-15 12:10,0,1,0
255806613,11255232805,30.00,30,Petrol,01-01-15 12:22,0,1,0
255811800,11282767105,23.00,23,Petrol,01-01-15 12:52,0,1,0
255823266,11551883905,28.57,28,Petrol,01-01-15 08:00,0,1,0
255827192,11274586555,40.00,40,Petrol,01-01-15 01:38,0,1,0
255828817,11755385755,26.14,26,Petrol,01-01-15 11:02,0,1,0
255829168,11296841155,28.57,28,Petrol,01-01-15 13:15,0,1,0
255831703,11287392505,19.00,19,Petrol,01-01-15 11:20,0,1,0
255831872,11297048905,9.00,9,Petrol,01-01-15 11:57,0,1,0
255834745,11763845455,23.00,23,Petrol,01-01-15 10:16,0,1,0
255840036,11764239505,14.00,14,Petrol,01-01-15 09:40,0,1,0
255845002,11274383455,9.52,9,Petrol,01-01-15 14:13,0,1,0
255845301,11299664605,23.81,23,Petrol,01-01-15 08:28,0,1,0
255845535,11299669255,42.52,42,Petrol,01-01-15 11:33,0,1,0
255846497,11272424005,37.14,37,Petrol,01-01-15 11:21,0,1,0
255849266,10002970555,40.01,40,Petrol,01-01-15 08:26,0,1,0
255850033,11300072005,31.09,31,Petrol,01-01-15 14:15,0,1,0
255862175,11269768705,40.01,40,Petrol,01-01-15 08:32,0,1,0
255867687,11269679905,33.33,33,Petrol,01-01-15 10:01,0,1,0
255869286,11767271305,9.00,9,Petrol,01-01-15 13:19,0,1,0
255876319,11269236955,9.52,9,Petrol,01-01-15 09:25,0,1,0
255883352,11297549755,10.90,10,Petrol,01-01-15 11:39,0,1,0
255889618,10122419455,37.99,37,Petrol,01-01-15 12:13,0,1,0
255891867,11270291755,23.81,23,Petrol,01-01-15 14:08,0,1,0
255901760,11268766705,35.00,35,Petrol,01-01-15 10:44,0,1,0
255903151,11712788155,15.85,15,Petrol,01-01-15 12:32,0,1,0
255903749,11256837055,50.00,50,Petrol,01-01-15 03:31,0,1,0
255910132,11290821655,49.14,49,Petrol,01-01-15 11:00,0,1,0
255910353,11295827755,30.96,30,Petrol,01-01-15 12:27,0,1,0
255914110,11274618355,86.01,86,Petrol,01-01-15 03:44,0,1,0
255927955,11262916105,14.29,14,Petrol,01-01-15 09:58,0,1,0
255928774,11762153755,30.00,30,Petrol,01-01-15 05:25,0,1,0
255934312,11771579755,33.02,33,Petrol,01-01-15 14:52,0,1,0
255941566,11253123955,23.00,23,Petrol,01-01-15 17:37,0,1,0
255949106,11762766805,20.00,20,Petrol,01-01-15 06:24,0,1,0
255953175,10167885505,9.52,9,Petrol,01-01-15 14:43,0,1,0
255955229,11752046455,7.14,7,Petrol,01-01-15 14:14,0,1,0
